平台,產品1,產品2,Function,Intention,landing後的URL
MYB12B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/business-import.asp
MYB13B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/charges-ensure.asp
MYB14B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/charges-export.asp
MYB15B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/charges-import.asp
MYB16B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/download.asp
MYB17B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/factoring.asp
MYB18B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/factoring.asp
MYB19B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/forfaiting.asp
MYB20B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/supply.asp
MYB2B,B2B平台,,功能_login,,https://www.cathayholdings.com/bank/cathaybk/corp/index.asp
MYB2B,B2B平台,行動OTP,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/e_service/myb2b/event/2015/201507myb2b/index.html
MYB2B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/myb2b/authorize.asp
MYB3B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/myb2b/banking-other.asp
MYB4B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/myb2b/banking-payable.asp
MYB5B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/myb2b/banking-receivable.asp
MYB6B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/myb2b/download.asp
MYB7B,B2B平台,,申請_產品申辦,,https://www.cathayholdings.com/bank/cathaybk/corp/myb2b/download.asp#form
MYB8B,B2B平台,,申請_產品申辦,,https://www.cathayholdings.com/bank/cathaybk/corp/myb2b/download.asp#tool
MYB9B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/myb2b/global.asp
mybank,CUB平台,CUB平台,,,https://www.mybank.com.tw/mybank/Home/MyMobiBank
mybank,CUB平台,CUB平台,,,https://www.mybank.com.tw/MyBank/Outer/CardMyBankApply
mybank,CUB平台,CUB平台,,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/APP_LoginMessage
mybank,CUB平台,CUB平台,,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyMobiBank
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/default.asp
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/Error.asp
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/Error.asp?TimeOut=Err&CompanyID=&Msg=Y
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/Error.asp?TimeOut=FlowError&CompanyID=
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/Error.asp?TimeOut=Login&CompanyID=&Msg=Account%20Host%20Code%20Not%20Found(J006)
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/Error.asp?TimeOut=N&CompanyID=
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/Error.asp?TimeOut=N&CompanyID=MyATM
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/Login.asp
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/Logout.asp
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/myatm/use/ShowErr.asp?TimeOut=N
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/mybank
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/mybank/
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/classics
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/Login/
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/LoginMessage
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/LoginMessageReLogin
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/Login?ReturnUrl=%2fMyBank%2fBonus%2fC0401_BonusInq
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/Login?ReturnUrl=%2fMyBank%2fCQuery%2fC0102_BillInq
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/Login?ReturnUrl=%2fMyBank%2fCQuery%2fC0105_BillBarCodeService
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/Login?ReturnUrl=%2fMyBank%2fFAcctInq%2fR0102_FAcctDtlInq_Qry
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/Login?ReturnUrl=%2fMyBank%2fFTD%2fR0510_FOTDCanCelInq_Qry
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Home/Login?ReturnUrl=%2fMyBank%2fHome%2fLogout
mybank,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/mybank/#opdom=linkuryjs.info&partner=kury&channel=kurysrc6_ie&country=nil&quick=https%3A%2F%2Fendall41-
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Overview/Home/Searchs
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Personal/Home
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Personal/Home#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Personal/Home#contentTab_AcctInq_B0101
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Policy/I0103_PremiumPay_Qry
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/AcctCheck/P0101_AcctStatementSet
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/AcctCheck/P0102_AcctStatementInq
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/AcctInq/Action
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/AcctInq/B0101_DepInq
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/AcctInq/B0102_LoanInq
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/AcctInq/B0103_TxnDtlInq
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/AdvInfo/S0709_GlobalNews_Set_Upd
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Announce/F0401_FundNews
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Announce/F0402_FundActivity
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Announce/F0403_FundTxnRule
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Apply/C0201_CardActivate
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Apply/C0203_FuncInstallment
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Apply/C0205_ReebackSet_Submit
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Assets/P0302_BalanceSheet
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Costco/C0701_CostcoBonusInq
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/CQuery/C0101_BillOverview
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/CQuery/C0102_BillInq
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/CQuery/C0103_UnbilledDtlInq
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/CQuery/C0105_BillBarCodeService
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/DataChg/P0602_BasicDataEdit
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/mybank/Quicklinks/DSUAcctInq/S0901_ReconsingnmentBill_Term
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/mybank/Quicklinks/DSUAcctInq/S0902_ReconsingnmentOnTime_Qry
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/DSU/S0801_Reconsingnment_Info
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Error/MyBankErrorPage
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Error/MyBankErrorPageBeforeTxn
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FAcctInq/R0101_FDepInq
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FAcctInq/R0102_FAcctDtlInq_Qry
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FAcctInq/R0104_FTxnReportInq_Qry
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/mybank/Quicklinks/FundTxn/F0201_Purchase
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FundTxn/F0201_Purchase
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/FundTxn/F0201_PurchaseNewSingle
